test_number,query,expected_source,expected_domain,top_1_source,source_rank,hit_at_1,hit_at_3,hit_at_5,domain_hit,evidence,retrieved_sources
1,How should an AI system explain automated decisions to people affected by them?,ai-principles.pdf,ai_ethics,ai-principles.pdf,1,True,True,True,True,of its product (the content and justification of that outcome). Algorithms should be developed in a transparent way to ensure that input transparency is evident and explainable to the end-users of the AI system to be able to provide evidence and information on the data used to process the decisions ...,ai-principles.pdf | ai-principles.pdf | ai-principles.pdf | GenerativeAIPublicEN.pdf | ai-principles.pdf
2,What safeguards are needed to make AI decisions understandable and accountable?,ai-principles.pdf,ai_ethics,ai-principles.pdf,1,True,True,True,True,might encounter is crucial. 2- Planning to set out a robust and reliable AI system that works with different sets of inputs and situations is essential to prevent unintended harm and mitigate risks of system failures when positioned against unknown and unforeseen events. 3- Establishing a set of sta...,ai-principles.pdf | ai-principles.pdf | ai-principles.pdf | ai-principles.pdf | ai-principles.pdf
3,What should an organization consider before introducing artificial intelligence across its operations?,AIAdoptionFramework.pdf,ai_governance,NationalOccupationalStandardFramework.pdf,,False,False,False,False,"Advocate artificial intelligence related topics with senior management, to ensure the organization's strategic goals include artificial intelligence. Ensure that organizational artificial intelligence strategy is effectively addressed by artificial intelligence policies and related documents. Ensure...",NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf
4,How can an organization assess its readiness before adopting AI?,AIAdoptionFramework.pdf,ai_governance,NAII.pdf,4,False,False,True,True,"National AI Index (NAII) 19 عام 3.4 Results This stage represents the final step in implementing the National AI Index. It aims to accurately portray the readiness level of government entities for AI adoption. It relies on data collected during the measurement stage, transforming practices and indic...",NAII.pdf | NAII.pdf | NAII.pdf | AIAdoptionFramework.pdf | AIAdoptionFramework.pdf
5,How should news and media organizations use artificial intelligence responsibly?,AIPrinciplesMedia.pdf,media_ai,AIPrinciplesMedia.pdf,1,True,True,True,True,AI Principles in Media 2026 Public,AIPrinciplesMedia.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | AIPrinciplesMedia.pdf | NationalOccupationalStandardFramework.pdf
6,What safeguards should media organizations apply when publishing AI-generated content?,AIPrinciplesMedia.pdf,media_ai,AIPrinciplesMedia.pdf,1,True,True,True,True,"Fifth Principle: Responsibility and Accountability Across the Content Lifecycle Sixth Principle: Integrity and Impartiality Entities, digital content platforms, and content creators bear responsibility for AI-supported content throughout its lifecycle, from production and publication through redistr...",AIPrinciplesMedia.pdf | AIPrinciplesMedia.pdf | AIPrinciplesMedia.pdf | AIPrinciplesMedia.pdf | AIPrinciplesMedia.pdf
7,What should a government entity consider before using generative AI with official information?,GenAIGuidelinesForGovernmentENCompressed.pdf,generative_ai,GenAIGuidelinesForGovernmentENCompressed.pdf,1,True,True,True,True,"How can government entities benefit from GenAI ? Generative artificial intelligence offers a range of potential benefits to government entities that can be leveraged. However, it is crucial for these entities to ensure that they do not violate the guidelines mentioned in this document. 1. Enhancing ...",GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf
8,Can public-sector employees use generative AI when handling government data?,GenAIGuidelinesForGovernmentENCompressed.pdf,generative_ai,GenAIGuidelinesForGovernmentENCompressed.pdf,1,True,True,True,True,"How can government entities benefit from GenAI ? Generative artificial intelligence offers a range of potential benefits to government entities that can be leveraged. However, it is crucial for these entities to ensure that they do not violate the guidelines mentioned in this document. 1. Enhancing ...",GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf
9,How should ordinary users verify information produced by generative artificial intelligence?,GenerativeAIPublicEN.pdf,generative_ai,GenAIGuidelinesForGovernmentENCompressed.pdf,,False,False,False,True,"limitations is crucial in the responsible use of generative artificial intelligence within government entities. Ensuring quality necessitates a multi-faceted approach encompassing monitoring, hu- man supervision, and user education to effectively harness the capabilities of generative artificial int...",GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf | GenAIGuidelinesForGovernmentENCompressed.pdf
10,What should members of the public know before relying on AI-generated answers?,GenerativeAIPublicEN.pdf,generative_ai,AIPrinciplesMedia.pdf,2,False,True,True,True,AI Principles in Media 2026 Public,AIPrinciplesMedia.pdf | GenerativeAIPublicEN.pdf | GenerativeAIPublicEN.pdf | GenerativeAIPublicEN.pdf | AIAdoptionFramework.pdf
11,Is it ethical to create synthetic media using someone's face without their permission?,GuidelinesOnDeepfakeEthics.pdf,deepfake_ethics,GuidelinesOnDeepfakeEthics.pdf,1,True,True,True,True,"• In 2023, a prominent political figure in the United States spoke out about her encounter with a synthetic image of herself on a social platform. The deepfake image, created with- out her consent, caused shock and resurfaced past traumas. She stated that deepfakes “parallel the same exact intention...",GuidelinesOnDeepfakeEthics.pdf | GuidelinesOnDeepfakeEthics.pdf | GuidelinesOnDeepfakeEthics.pdf | GuidelinesOnDeepfakeEthics.pdf | GuidelinesOnDeepfakeEthics.pdf
12,What are the risks of manipulating people with realistic fake videos without disclosure?,GuidelinesOnDeepfakeEthics.pdf,deepfake_ethics,GuidelinesOnDeepfakeEthics.pdf,1,True,True,True,True,"Non-consensual manipulation uses deepfake technology to create explicit or compromising content of individuals without their consent, often for harassment, blackmail, or reputational damage. Victims face severe emotional distress and potential long-term mental health issues, strained relationships, ...",GuidelinesOnDeepfakeEthics.pdf | GuidelinesOnDeepfakeEthics.pdf | GuidelinesOnDeepfakeEthics.pdf | GuidelinesOnDeepfakeEthics.pdf | AIPrinciplesMedia.pdf
13,How can national AI progress and maturity be measured?,NAII.pdf,ai_governance,NAII.pdf,1,True,True,True,True,National AI Index (NAII) 4 عام 1. Document Purpose This document aims to introduce the National AI Index (NAII) by outlining its objectives and the methodology adopted in its development. It also covers the key components on which the Index relies to assess the readiness of government entities to ad...,NAII.pdf | NAII.pdf | NAII.pdf | NAII.pdf | AIAdoptionFramework.pdf
14,What indicators can be used to assess national artificial intelligence development?,NAII.pdf,ai_governance,NAII.pdf,1,True,True,True,True,National AI Index (NAII) 4 عام 1. Document Purpose This document aims to introduce the National AI Index (NAII) by outlining its objectives and the methodology adopted in its development. It also covers the key components on which the Index relies to assess the readiness of government entities to ad...,NAII.pdf | NAII.pdf | NAII.pdf | NAII.pdf | NAII.pdf
15,What professional skills and responsibilities are expected for data and AI occupations?,NationalOccupationalStandardFramework.pdf,ai_workforce,SaudiAcademicFrameworkAIQualifications.pdf,2,False,True,True,True,"Communication and Information Technology Skills: ▷ Written and oral communication to convey specialized knowledge and complex ideas in the field of AI or one of its branches and present them in a clear and concise manner to diverse au - diences. ▷ Identify, select, and utilize advanced technical too...",SaudiAcademicFrameworkAIQualifications.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf
16,What competency standards define professional roles in data and artificial intelligence jobs?,NationalOccupationalStandardFramework.pdf,ai_workforce,NationalOccupationalStandardFramework.pdf,1,True,True,True,True,for promotion Professional Certificates in the required competencies such as but not limited to (or equivalent): - Data Science Professional Certification from IBM. - Google Data Analytics Professional Certification. - Machine Learning Professional Engineer. 77 National Occupational Standard Framewo...,NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf | NationalOccupationalStandardFramework.pdf
17,What learning outcomes and qualification levels are expected in artificial intelligence education?,SaudiAcademicFrameworkAIQualifications.pdf,ai_education,SaudiAcademicFrameworkAIQualifications.pdf,1,True,True,True,True,"Graduates should be able to demonstrate knowledge of: ▷ A limited set of concepts, principles, and theories in mathematics, statistics, and computer science, with some theoretical and technical depth in one or more areas of AI. ▷ A limited set of knowledge and understanding of the processes, algorit...",SaudiAcademicFrameworkAIQualifications.pdf | SaudiAcademicFrameworkAIQualifications.pdf | SaudiAcademicFrameworkAIQualifications.pdf | SaudiAcademicFrameworkAIQualifications.pdf | SaudiAcademicFrameworkAIQualifications.pdf
18,How should academic AI qualifications be structured across education levels?,SaudiAcademicFrameworkAIQualifications.pdf,ai_education,SaudiAcademicFrameworkAIQualifications.pdf,1,True,True,True,True,"2. Contribute to establishing minimum curricular requirements for higher education programs in the field of AI.the field of AI. Scope of the Saudi Academic Framework for AI Qualifications This framework encompasses post-secondary educational programs in AI specializations, in - cluding: Associate De...",SaudiAcademicFrameworkAIQualifications.pdf | SaudiAcademicFrameworkAIQualifications.pdf | SaudiAcademicFrameworkAIQualifications.pdf | SaudiAcademicFrameworkAIQualifications.pdf | SaudiAcademicFrameworkAIQualifications.pdf
