id,query,expected_source,expected_domain,source_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,domain_hit_at_5,top_1_source,top_1_page,top_1_domain,top_1_distance
Q001,How should an AI system explain automated decisions to people affected by them?,ai-principles.pdf,ai_ethics,2,False,True,True,0.5,True,GenerativeAIPublicEN.pdf,10,generative_ai,0.688766
Q002,What safeguards are needed to make AI decisions understandable and accountable?,ai-principles.pdf,ai_ethics,1,True,True,True,1.0,True,ai-principles.pdf,42,ai_ethics,0.568767
Q003,What should an organization consider before introducing artificial intelligence across its operations?,AIAdoptionFramework.pdf,ai_governance,,False,False,False,0.0,False,NationalOccupationalStandardFramework.pdf,22,ai_workforce,0.57764
Q004,How can an organization assess its readiness before adopting AI?,AIAdoptionFramework.pdf,ai_governance,1,True,True,True,1.0,True,AIAdoptionFramework.pdf,8,ai_governance,0.556007
Q005,How should news and media organizations use artificial intelligence responsibly?,AIPrinciplesMedia.pdf,media_ai,1,True,True,True,1.0,True,AIPrinciplesMedia.pdf,10,media_ai,0.726983
Q006,What safeguards should media organizations apply when publishing AI-generated content?,AIPrinciplesMedia.pdf,media_ai,2,False,True,True,0.5,True,GenerativeAIPublicEN.pdf,9,generative_ai,0.570961
Q007,What should a government entity consider before using generative AI with official information?,GenAIGuidelinesForGovernmentENCompressed.pdf,generative_ai,1,True,True,True,1.0,True,GenAIGuidelinesForGovernmentENCompressed.pdf,5,generative_ai,0.444189
Q008,Can public-sector employees use generative AI when handling government data?,GenAIGuidelinesForGovernmentENCompressed.pdf,generative_ai,1,True,True,True,1.0,True,GenAIGuidelinesForGovernmentENCompressed.pdf,5,generative_ai,0.499708
Q009,How should ordinary users verify information produced by generative artificial intelligence?,GenerativeAIPublicEN.pdf,generative_ai,1,True,True,True,1.0,True,GenerativeAIPublicEN.pdf,15,generative_ai,0.622873
Q010,What should members of the public know before relying on AI-generated answers?,GenerativeAIPublicEN.pdf,generative_ai,1,True,True,True,1.0,True,GenerativeAIPublicEN.pdf,15,generative_ai,0.756748
Q011,Is it ethical to create synthetic media using someone's face without their permission?,GuidelinesOnDeepfakeEthics.pdf,deepfake_ethics,1,True,True,True,1.0,True,GuidelinesOnDeepfakeEthics.pdf,10,deepfake_ethics,0.924316
Q012,What are the risks of manipulating people with realistic fake videos without disclosure?,GuidelinesOnDeepfakeEthics.pdf,deepfake_ethics,1,True,True,True,1.0,True,GuidelinesOnDeepfakeEthics.pdf,13,deepfake_ethics,0.772337
Q013,How can national AI progress and maturity be measured?,NAII.pdf,ai_governance,1,True,True,True,1.0,True,NAII.pdf,15,ai_governance,0.643476
Q014,What indicators can be used to assess national artificial intelligence development?,NAII.pdf,ai_governance,1,True,True,True,1.0,True,NAII.pdf,15,ai_governance,0.642379
Q015,What professional skills and responsibilities are expected for data and AI occupations?,NationalOccupationalStandardFramework.pdf,ai_workforce,1,True,True,True,1.0,True,NationalOccupationalStandardFramework.pdf,13,ai_workforce,0.595072
Q016,What competency standards define professional roles in data and artificial intelligence jobs?,NationalOccupationalStandardFramework.pdf,ai_workforce,1,True,True,True,1.0,True,NationalOccupationalStandardFramework.pdf,67,ai_workforce,0.649844
Q017,What learning outcomes and qualification levels are expected in artificial intelligence education?,SaudiAcademicFrameworkAIQualifications.pdf,ai_education,1,True,True,True,1.0,True,SaudiAcademicFrameworkAIQualifications.pdf,20,ai_education,0.651651
Q018,How should academic AI qualifications be structured across education levels?,SaudiAcademicFrameworkAIQualifications.pdf,ai_education,1,True,True,True,1.0,True,SaudiAcademicFrameworkAIQualifications.pdf,8,ai_education,0.698765
